title,content
I love that I had options to choose…,I love that I had options to choose from and that it even suggested which plan was best for my travels.
Always an easy process,"Always an easy process, quick and great coverage which provides peace of mind."
Good one ..,Good one ... nice
Very good experience,Very good experience
It's a very good company,
Very good service,
Perfect service,Perfect service. Quick & effective. All question answered.
extremely knowledgeable and helpful.,
Very helpful,"Denise was very helpful, friendly and answered all my questions."
Quick,"Quick, easy, great pricing, and the person on the phone was very helpful and pleasant."
Worked with Terry and she was awesome!,"Worked with Terry and she was awesome!
Helped us through some of our questions and we secured a policy that fit our needs!"
Great experience with Aardy for our trip insurance,Amanda was very helpful in finding us a travel insurance policy that provides the features we were looking for. I really liked that there were a number of options for us and that Amanda was concerned in our satisfaction with the purchase.
Very friendly service and was able to…,Very friendly service and was able to explain the difference in the policies.
My wife and I are planning a trip to…,"My wife and I are planning a trip to Alaska and wanted to get travel insurance to help us with any unforeseen events that might impact this expensive trip. Comparing travel insurance policies can be very confusing. We worked with Stacy who carefully listened to our concerns, answered our questions, and found a policy that met our needs. Feeling very confident that we made a good choice. Thank you!"
